id,query,status,us_demand,us_demand_source,retrieval_date,current_us_desktop_position,desktop_rank_source,current_us_mobile_position,mobile_rank_source,current_landing_url,google_selected_canonical,commercial_relevance,target_landing_page,cannibalization_conflicts,notes
1,wholesale iPhone back glass,HYPOTHESIS,NOT VERIFIED,NONE — no GSC/Keyword Planner/Semrush/DataForSEO export,2026-08-07 audit,NOT VERIFIED,NONE,NOT VERIFIED,NONE,NOT VERIFIED — no reliable US rank observation,NOT VERIFIED — GSC URL Inspection unavailable,Category purchase (hypothesis; not validated by demand or conversion data),Homepage or Glass Only hub (proposed only),"NOT VERIFIED — proposed families overlap until demand, current landing URLs, and catalog authority are measured",HYPOTHESIS
2,iPhone back glass wholesale,HYPOTHESIS,NOT VERIFIED,NONE — no GSC/Keyword Planner/Semrush/DataForSEO export,2026-08-07 audit,NOT VERIFIED,NONE,NOT VERIFIED,NONE,NOT VERIFIED — no reliable US rank observation,NOT VERIFIED — GSC URL Inspection unavailable,Category purchase (hypothesis; not validated by demand or conversion data),Glass Only hub (proposed only),"NOT VERIFIED — proposed families overlap until demand, current landing URLs, and catalog authority are measured",HYPOTHESIS
3,iPhone back glass supplier,HYPOTHESIS,NOT VERIFIED,NONE — no GSC/Keyword Planner/Semrush/DataForSEO export,2026-08-07 audit,NOT VERIFIED,NONE,NOT VERIFIED,NONE,NOT VERIFIED — no reliable US rank observation,NOT VERIFIED — GSC URL Inspection unavailable,Supplier selection (hypothesis; not validated by demand or conversion data),Homepage (proposed only),"NOT VERIFIED — proposed families overlap until demand, current landing URLs, and catalog authority are measured",HYPOTHESIS
4,iPhone rear glass wholesale,HYPOTHESIS,NOT VERIFIED,NONE — no GSC/Keyword Planner/Semrush/DataForSEO export,2026-08-07 audit,NOT VERIFIED,NONE,NOT VERIFIED,NONE,NOT VERIFIED — no reliable US rank observation,NOT VERIFIED — GSC URL Inspection unavailable,Category purchase (hypothesis; not validated by demand or conversion data),Glass Only hub (proposed only),"NOT VERIFIED — proposed families overlap until demand, current landing URLs, and catalog authority are measured",HYPOTHESIS
5,iPhone back glass supplier USA,HYPOTHESIS,NOT VERIFIED,NONE — no GSC/Keyword Planner/Semrush/DataForSEO export,2026-08-07 audit,NOT VERIFIED,NONE,NOT VERIFIED,NONE,NOT VERIFIED — no reliable US rank observation,NOT VERIFIED — GSC URL Inspection unavailable,US supplier selection (hypothesis; not validated by demand or conversion data),Homepage (proposed only),"NOT VERIFIED — proposed families overlap until demand, current landing URLs, and catalog authority are measured",HYPOTHESIS — US operational claims unverified
6,wholesale back glass for repair shops,HYPOTHESIS,NOT VERIFIED,NONE — no GSC/Keyword Planner/Semrush/DataForSEO export,2026-08-07 audit,NOT VERIFIED,NONE,NOT VERIFIED,NONE,NOT VERIFIED — no reliable US rank observation,NOT VERIFIED — GSC URL Inspection unavailable,B2B category purchase (hypothesis; not validated by demand or conversion data),Homepage or Glass Only hub (proposed only),"NOT VERIFIED — proposed families overlap until demand, current landing URLs, and catalog authority are measured",HYPOTHESIS
7,iPhone 11 Pro back glass wholesale,HYPOTHESIS,NOT VERIFIED,NONE — no GSC/Keyword Planner/Semrush/DataForSEO export,2026-08-07 audit,NOT VERIFIED,NONE,NOT VERIFIED,NONE,NOT VERIFIED — no reliable US rank observation,NOT VERIFIED — GSC URL Inspection unavailable,Model purchase (hypothesis; not validated by demand or conversion data),iPhone 11 model hub (proposed only),"NOT VERIFIED — proposed families overlap until demand, current landing URLs, and catalog authority are measured",HYPOTHESIS — model hub missing
8,iPhone 12 Pro Max back glass wholesale,HYPOTHESIS,NOT VERIFIED,NONE — no GSC/Keyword Planner/Semrush/DataForSEO export,2026-08-07 audit,NOT VERIFIED,NONE,NOT VERIFIED,NONE,NOT VERIFIED — no reliable US rank observation,NOT VERIFIED — GSC URL Inspection unavailable,Model purchase (hypothesis; not validated by demand or conversion data),iPhone 12 model hub (proposed only),"NOT VERIFIED — proposed families overlap until demand, current landing URLs, and catalog authority are measured",HYPOTHESIS — model hub missing
9,iPhone 13 Pro Max back glass wholesale,HYPOTHESIS,NOT VERIFIED,NONE — no GSC/Keyword Planner/Semrush/DataForSEO export,2026-08-07 audit,NOT VERIFIED,NONE,NOT VERIFIED,NONE,NOT VERIFIED — no reliable US rank observation,NOT VERIFIED — GSC URL Inspection unavailable,Model purchase (hypothesis; not validated by demand or conversion data),iPhone 13 model hub (proposed only),"NOT VERIFIED — proposed families overlap until demand, current landing URLs, and catalog authority are measured",HYPOTHESIS — model hub missing
10,iPhone 14 Pro back glass wholesale,HYPOTHESIS,NOT VERIFIED,NONE — no GSC/Keyword Planner/Semrush/DataForSEO export,2026-08-07 audit,NOT VERIFIED,NONE,NOT VERIFIED,NONE,NOT VERIFIED — no reliable US rank observation,NOT VERIFIED — GSC URL Inspection unavailable,Model purchase (hypothesis; not validated by demand or conversion data),iPhone 14 model hub (proposed only),"NOT VERIFIED — proposed families overlap until demand, current landing URLs, and catalog authority are measured",HYPOTHESIS — model hub missing
